,Temperature_C,Humidity_pct
2026-08-13 08:00:00,19.2,59.7
2026-08-13 09:00:00,20.2,59.9
2026-08-13 10:00:00,21.2,57.6
2026-08-13 11:00:00,22.1,65.1
2026-08-13 12:00:00,22.9,54.9
2026-08-13 13:00:00,23.5,54.6
2026-08-13 14:00:00,23.9,58.4
2026-08-13 15:00:00,24.0,59.7
2026-08-13 16:00:00,23.9,58.4
2026-08-13 17:00:00,23.5,63.6
2026-08-13 18:00:00,22.9,55.5
2026-08-13 19:00:00,22.1,60.8
2026-08-13 20:00:00,21.2,61.8
2026-08-13 21:00:00,20.2,63.8
2026-08-13 22:00:00,19.2,65.2
2026-08-13 23:00:00,18.3,65.9
2026-08-14 00:00:00,17.5,67.1
2026-08-14 01:00:00,16.9,65.0
2026-08-14 02:00:00,16.6,64.2
2026-08-14 03:00:00,16.4,69.4
2026-08-14 04:00:00,16.6,68.8
2026-08-14 05:00:00,16.9,68.1
2026-08-14 06:00:00,17.5,68.8
2026-08-14 07:00:00,18.3,62.2
2026-08-14 08:00:00,19.2,68.4
2026-08-14 09:00:00,20.2,66.9
2026-08-14 10:00:00,21.2,61.6
2026-08-14 11:00:00,22.1,59.2
2026-08-14 12:00:00,22.9,59.3
2026-08-14 13:00:00,23.5,60.1
2026-08-14 14:00:00,23.9,59.6
2026-08-14 15:00:00,24.0,55.6
2026-08-14 16:00:00,23.9,62.9
2026-08-14 17:00:00,23.5,57.8
2026-08-14 18:00:00,22.9,59.4
2026-08-14 19:00:00,22.1,62.6
2026-08-14 20:00:00,21.2,60.6
2026-08-14 21:00:00,20.2,63.0
2026-08-14 22:00:00,19.2,66.5
2026-08-14 23:00:00,18.3,64.0
2026-08-15 00:00:00,17.5,69.8
2026-08-15 01:00:00,16.9,61.5
2026-08-15 02:00:00,16.6,63.6
2026-08-15 03:00:00,16.4,71.8
2026-08-15 04:00:00,16.6,70.2
2026-08-15 05:00:00,16.9,68.7
2026-08-15 06:00:00,17.5,67.9
2026-08-15 07:00:00,18.3,64.4
2026-08-15 08:00:00,19.2,62.7
2026-08-15 09:00:00,20.2,59.5
2026-08-15 10:00:00,21.2,61.2
2026-08-15 11:00:00,22.1,64.7
2026-08-15 12:00:00,22.9,62.7
2026-08-15 13:00:00,23.5,60.3
2026-08-15 14:00:00,23.9,57.2
2026-08-15 15:00:00,24.0,63.5
2026-08-15 16:00:00,23.9,62.7
2026-08-15 17:00:00,23.5,61.4
2026-08-15 18:00:00,22.9,61.3
2026-08-15 19:00:00,22.1,63.3
2026-08-15 20:00:00,21.2,58.2
2026-08-15 21:00:00,20.2,64.6
2026-08-15 22:00:00,19.2,54.8
2026-08-15 23:00:00,18.3,63.1
2026-08-16 00:00:00,17.5,59.6
2026-08-16 01:00:00,16.9,62.6
2026-08-16 02:00:00,16.6,69.4
2026-08-16 03:00:00,16.4,61.9
2026-08-16 04:00:00,16.6,62.4
2026-08-16 05:00:00,16.9,65.0
2026-08-16 06:00:00,17.5,64.2
2026-08-16 07:00:00,18.3,64.4
2026-08-16 08:00:00,19.2,62.6
2026-08-16 09:00:00,20.2,65.1
2026-08-16 10:00:00,21.2,56.6
2026-08-16 11:00:00,22.1,61.2
2026-08-16 12:00:00,22.9,63.7
2026-08-16 13:00:00,23.5,58.2
2026-08-16 14:00:00,23.9,59.8
2026-08-16 15:00:00,24.0,59.4
2026-08-16 16:00:00,23.9,57.1
2026-08-16 17:00:00,23.5,59.6
2026-08-16 18:00:00,22.9,58.3
2026-08-16 19:00:00,22.1,63.9
2026-08-16 20:00:00,21.2,61.8
2026-08-16 21:00:00,20.2,63.9
2026-08-16 22:00:00,19.2,59.9
2026-08-16 23:00:00,18.3,61.3
2026-08-17 00:00:00,17.5,65.2
2026-08-17 01:00:00,16.9,63.1
2026-08-17 02:00:00,16.6,67.9
2026-08-17 03:00:00,16.4,68.9
2026-08-17 04:00:00,16.6,65.1
2026-08-17 05:00:00,16.9,67.1
2026-08-17 06:00:00,17.5,72.0
2026-08-17 07:00:00,18.3,62.4
2026-08-17 08:00:00,19.2,66.5
2026-08-17 09:00:00,20.2,60.6
2026-08-17 10:00:00,21.2,64.9
2026-08-17 11:00:00,22.1,59.3
2026-08-17 12:00:00,22.9,60.9
2026-08-17 13:00:00,23.5,59.5
2026-08-17 14:00:00,23.9,63.2
2026-08-17 15:00:00,24.0,54.0
2026-08-17 16:00:00,23.9,55.6
2026-08-17 17:00:00,23.5,57.4
2026-08-17 18:00:00,22.9,58.4
2026-08-17 19:00:00,22.1,60.4
2026-08-17 20:00:00,21.2,56.4
2026-08-17 21:00:00,20.2,64.4
2026-08-17 22:00:00,19.2,65.2
2026-08-17 23:00:00,18.3,60.9
2026-08-18 00:00:00,17.5,67.8
2026-08-18 01:00:00,16.9,67.5
2026-08-18 02:00:00,16.6,67.3
2026-08-18 03:00:00,16.4,69.0
2026-08-18 04:00:00,16.6,68.3
2026-08-18 05:00:00,16.9,68.0
2026-08-18 06:00:00,17.5,61.1
2026-08-18 07:00:00,18.3,67.5
2026-08-18 08:00:00,19.2,63.7
2026-08-18 09:00:00,20.2,61.0
2026-08-18 10:00:00,21.2,59.6
2026-08-18 11:00:00,22.1,67.3
2026-08-18 12:00:00,22.9,60.8
2026-08-18 13:00:00,23.5,56.7
2026-08-18 14:00:00,23.9,59.8
2026-08-18 15:00:00,24.0,63.0
2026-08-18 16:00:00,23.9,60.6
2026-08-18 17:00:00,23.5,59.6
2026-08-18 18:00:00,22.9,61.1
2026-08-18 19:00:00,22.1,65.6
2026-08-18 20:00:00,21.2,63.7
2026-08-18 21:00:00,20.2,64.9
2026-08-18 22:00:00,19.2,61.8
2026-08-18 23:00:00,18.3,62.1
2026-08-19 00:00:00,17.5,67.3
2026-08-19 01:00:00,16.9,68.3
2026-08-19 02:00:00,16.6,66.8
2026-08-19 03:00:00,16.4,65.7
2026-08-19 04:00:00,16.6,69.2
2026-08-19 05:00:00,16.9,67.9
2026-08-19 06:00:00,17.5,64.3
2026-08-19 07:00:00,18.3,64.0
2026-08-19 08:00:00,19.2,60.2
2026-08-19 09:00:00,20.2,64.3
2026-08-19 10:00:00,21.2,61.3
2026-08-19 11:00:00,22.1,57.5
2026-08-19 12:00:00,22.9,59.2
2026-08-19 13:00:00,23.5,57.8
2026-08-19 14:00:00,23.9,61.8
2026-08-19 15:00:00,24.0,57.5
2026-08-19 16:00:00,23.9,61.3
2026-08-19 17:00:00,23.5,62.2
2026-08-19 18:00:00,22.9,61.1
2026-08-19 19:00:00,22.1,56.1
2026-08-19 20:00:00,21.2,58.2
2026-08-19 21:00:00,20.2,61.6
2026-08-19 22:00:00,19.2,63.7
2026-08-19 23:00:00,18.3,63.2
2026-08-20 00:00:00,17.5,67.2
2026-08-20 01:00:00,16.9,65.8
2026-08-20 02:00:00,16.6,61.9
2026-08-20 03:00:00,16.4,69.4
2026-08-20 04:00:00,16.6,66.7
2026-08-20 05:00:00,16.9,68.1
2026-08-20 06:00:00,17.5,69.3
2026-08-20 07:00:00,18.3,64.1
2026-08-20 08:00:00,19.2,62.6
2026-08-20 09:00:00,20.2,65.4
2026-08-20 10:00:00,21.2,64.6
2026-08-20 11:00:00,22.1,59.0
2026-08-20 12:00:00,22.9,59.8
2026-08-20 13:00:00,23.5,61.7
2026-08-20 14:00:00,23.9,58.5
2026-08-20 15:00:00,24.0,55.8
2026-08-20 16:00:00,23.9,57.0
2026-08-20 17:00:00,23.5,60.3
2026-08-20 18:00:00,22.9,61.3
2026-08-20 19:00:00,22.1,57.9
2026-08-20 20:00:00,21.2,62.0
2026-08-20 21:00:00,20.2,59.3
2026-08-20 22:00:00,19.2,67.5
2026-08-20 23:00:00,18.3,66.3
2026-08-21 00:00:00,17.5,67.6
2026-08-21 01:00:00,16.9,66.4
