Date;Time;Global_active_power;Global_reactive_power;Voltage;Global_intensity;Sub_metering_1;Sub_metering_2;Sub_metering_3
11/08/2026;11:00:00;0.742;0.11;239.26;3.1;0.0;0.0;50.0
11/08/2026;12:00:00;0.394;0.046;239.18;1.65;0.0;0.0;50.0
11/08/2026;13:00:00;0.636;0.112;231.91;2.74;0.0;0.0;50.0
11/08/2026;14:00:00;0.345;0.034;239.84;1.44;0.0;0.0;50.0
11/08/2026;15:00:00;0.641;0.042;239.31;2.68;0.0;0.0;50.0
11/08/2026;16:00:00;0.544;0.041;242.09;2.25;0.0;0.0;50.0
11/08/2026;17:00:00;1.112;0.084;245.55;4.53;0.0;0.0;50.0
11/08/2026;18:00:00;2.046;0.164;243.38;8.41;12.4;0.0;50.0
11/08/2026;19:00:00;2.817;0.219;239.19;11.78;12.0;0.0;50.0
11/08/2026;20:00:00;3.026;0.539;236.68;12.78;14.8;0.0;50.0
11/08/2026;21:00:00;2.689;0.232;247.72;10.85;20.6;0.0;50.0
11/08/2026;22:00:00;1.971;0.235;240.18;8.21;0.0;0.0;50.0
11/08/2026;23:00:00;1.09;0.25;240.04;4.54;0.0;0.0;50.0
12/08/2026;00:00:00;0.392;0.057;239.93;1.63;0.0;0.0;50.0
12/08/2026;01:00:00;0.431;0.079;240.59;1.79;0.0;0.0;50.0
12/08/2026;02:00:00;0.659;0.056;239.57;2.75;0.0;0.0;50.0
12/08/2026;03:00:00;0.559;0.049;238.28;2.34;0.0;0.0;50.0
12/08/2026;04:00:00;0.287;0.017;238.36;1.2;0.0;0.0;50.0
12/08/2026;05:00:00;0.792;0.066;239.9;3.3;0.0;0.0;50.0
12/08/2026;06:00:00;1.182;0.125;238.37;4.96;0.0;0.0;50.0
12/08/2026;07:00:00;1.84;0.157;237.86;7.73;0.0;4.7;50.0
12/08/2026;08:00:00;2.392;0.162;240.32;9.95;0.0;1.5;50.0
12/08/2026;09:00:00;2.096;0.155;239.24;8.76;0.0;3.4;50.0
12/08/2026;10:00:00;1.38;0.196;244.51;5.64;0.0;0.0;50.0
12/08/2026;11:00:00;0.618;0.056;232.05;2.66;0.0;0.0;50.0
12/08/2026;12:00:00;0.506;0.062;243.27;2.08;0.0;0.0;50.0
12/08/2026;13:00:00;0.562;0.085;243.74;2.31;0.0;0.0;50.0
12/08/2026;14:00:00;0.675;0.127;233.78;2.89;0.0;0.0;50.0
12/08/2026;15:00:00;0.538;0.031;238.97;2.25;0.0;0.0;50.0
12/08/2026;16:00:00;0.81;0.17;238.89;3.39;0.0;0.0;50.0
12/08/2026;17:00:00;1.146;0.201;235.78;4.86;0.0;0.0;50.0
12/08/2026;18:00:00;1.837;0.122;237.67;7.73;3.2;0.0;50.0
12/08/2026;19:00:00;2.828;0.636;236.67;11.95;8.4;0.0;50.0
12/08/2026;20:00:00;3.203;0.75;245.26;13.06;18.6;0.0;50.0
12/08/2026;21:00:00;2.695;0.168;242.81;11.1;4.0;0.0;50.0
12/08/2026;22:00:00;2.167;0.228;243.81;8.89;0.0;0.0;50.0
12/08/2026;23:00:00;1.366;0.289;242.17;5.64;0.0;0.0;50.0
13/08/2026;00:00:00;0.403;0.081;236.61;1.7;0.0;0.0;50.0
13/08/2026;01:00:00;0.554;0.048;238.43;2.32;0.0;0.0;50.0
13/08/2026;02:00:00;0.731;0.067;241.47;3.03;0.0;0.0;50.0
13/08/2026;03:00:00;0.502;0.062;236.33;2.12;0.0;0.0;50.0
13/08/2026;04:00:00;0.786;0.115;242.14;3.25;0.0;0.0;50.0
13/08/2026;05:00:00;0.351;0.061;239.28;1.47;0.0;0.0;50.0
13/08/2026;06:00:00;1.363;0.169;238.88;5.71;0.0;0.0;50.0
13/08/2026;07:00:00;1.954;0.279;242.13;8.07;0.0;10.6;50.0
13/08/2026;08:00:00;2.255;0.45;241.33;9.34;0.0;18.7;50.0
13/08/2026;09:00:00;1.955;0.112;238.92;8.18;0.0;0.8;50.0
13/08/2026;10:00:00;0.942;0.095;243.48;3.87;0.0;0.0;50.0
13/08/2026;11:00:00;4.711;0.908;236.76;19.9;0.0;0.0;50.0
13/08/2026;12:00:00;0.606;0.139;241.85;2.5;0.0;0.0;50.0
13/08/2026;13:00:00;0.734;0.112;241.78;3.04;0.0;0.0;50.0
13/08/2026;14:00:00;0.451;0.07;239.07;1.88;0.0;0.0;50.0
13/08/2026;15:00:00;0.489;0.035;240.98;2.03;0.0;0.0;50.0
13/08/2026;16:00:00;0.763;0.106;236.25;3.23;0.0;0.0;50.0
13/08/2026;17:00:00;1.449;0.227;242.77;5.97;0.0;0.0;50.0
13/08/2026;18:00:00;2.066;0.203;239.45;8.63;23.4;0.0;50.0
13/08/2026;19:00:00;2.627;0.273;238.43;11.02;17.2;0.0;50.0
13/08/2026;20:00:00;3.077;0.386;243.15;12.65;1.7;0.0;50.0
13/08/2026;21:00:00;2.721;0.147;237.89;11.44;7.5;0.0;50.0
13/08/2026;22:00:00;2.162;0.247;235.77;9.17;0.0;0.0;50.0
13/08/2026;23:00:00;1.206;0.111;235.33;5.13;0.0;0.0;50.0
14/08/2026;00:00:00;0.451;0.052;241.82;1.86;0.0;0.0;50.0
14/08/2026;01:00:00;0.441;0.033;236.16;1.87;0.0;0.0;50.0
14/08/2026;02:00:00;0.281;0.064;245.26;1.15;0.0;0.0;50.0
14/08/2026;03:00:00;0.551;0.093;233.75;2.36;0.0;0.0;50.0
14/08/2026;04:00:00;0.591;0.11;245.09;2.41;0.0;0.0;50.0
14/08/2026;05:00:00;0.744;0.155;240.63;3.09;0.0;0.0;50.0
14/08/2026;06:00:00;1.205;0.18;239.71;5.03;0.0;0.0;50.0
14/08/2026;07:00:00;1.729;0.117;238.37;7.25;0.0;4.0;50.0
14/08/2026;08:00:00;2.237;0.352;241.2;9.27;0.0;13.5;50.0
14/08/2026;09:00:00;1.89;0.316;239.89;7.88;0.0;19.4;50.0
14/08/2026;10:00:00;1.12;0.223;243.31;4.6;0.0;0.0;50.0
14/08/2026;11:00:00;0.72;0.098;240.34;2.99;0.0;0.0;50.0
14/08/2026;12:00:00;0.613;0.046;240.45;2.55;0.0;0.0;50.0
14/08/2026;13:00:00;0.795;0.085;238.91;3.33;0.0;0.0;50.0
14/08/2026;14:00:00;0.555;0.068;239.83;2.31;0.0;0.0;50.0
14/08/2026;15:00:00;0.649;0.116;240.92;2.69;0.0;0.0;50.0
14/08/2026;16:00:00;0.827;0.136;234.87;3.52;0.0;0.0;50.0
14/08/2026;17:00:00;1.024;0.124;235.96;4.34;0.0;0.0;50.0
14/08/2026;18:00:00;2.012;0.498;242.23;8.31;24.9;0.0;50.0
14/08/2026;19:00:00;2.715;0.465;240.51;11.29;10.7;0.0;50.0
14/08/2026;20:00:00;3.369;0.328;239.45;14.07;11.3;0.0;50.0
14/08/2026;21:00:00;?;0.188;?;11.15;4.1;0.0;?
14/08/2026;22:00:00;2.062;0.166;241.04;8.55;0.0;0.0;50.0
14/08/2026;23:00:00;1.306;0.13;238.38;5.48;0.0;0.0;50.0
15/08/2026;00:00:00;0.325;0.027;237.67;1.37;0.0;0.0;50.0
15/08/2026;01:00:00;0.671;0.059;240.59;2.79;0.0;0.0;50.0
15/08/2026;02:00:00;0.614;0.066;237.06;2.59;0.0;0.0;50.0
15/08/2026;03:00:00;0.627;0.053;241.22;2.6;0.0;0.0;50.0
15/08/2026;04:00:00;0.425;0.098;234.89;1.81;0.0;0.0;50.0
15/08/2026;05:00:00;1.003;0.066;243.09;4.13;0.0;0.0;50.0
15/08/2026;06:00:00;1.178;0.182;241.42;4.88;0.0;0.0;50.0
15/08/2026;07:00:00;2.318;0.306;240.77;9.63;0.0;2.1;50.0
15/08/2026;08:00:00;2.989;0.737;242.95;12.3;0.0;13.2;50.0
15/08/2026;09:00:00;2.081;0.151;245.0;8.49;0.0;20.0;50.0
15/08/2026;10:00:00;1.303;0.169;243.04;5.36;0.0;0.0;50.0
15/08/2026;11:00:00;0.807;0.197;234.48;3.44;0.0;0.0;50.0
15/08/2026;12:00:00;0.487;0.109;236.16;2.06;0.0;0.0;50.0
15/08/2026;13:00:00;0.282;0.06;238.13;1.19;0.0;0.0;50.0
15/08/2026;14:00:00;3.044;0.309;240.08;12.68;0.0;0.0;50.0
15/08/2026;15:00:00;0.473;0.04;241.55;1.96;0.0;0.0;50.0
15/08/2026;16:00:00;0.977;0.18;237.82;4.11;0.0;0.0;50.0
15/08/2026;17:00:00;1.336;0.315;240.56;5.55;0.0;0.0;50.0
15/08/2026;18:00:00;2.552;0.412;237.73;10.74;0.8;0.0;50.0
15/08/2026;19:00:00;5.53;0.909;238.17;23.22;16.3;0.0;50.0
15/08/2026;20:00:00;3.452;0.366;235.78;14.64;9.2;0.0;50.0
15/08/2026;21:00:00;3.27;0.667;237.23;13.78;21.6;0.0;50.0
15/08/2026;22:00:00;2.135;0.187;235.94;9.05;0.0;0.0;50.0
15/08/2026;23:00:00;1.508;0.173;237.07;6.36;0.0;0.0;50.0
16/08/2026;00:00:00;0.696;0.094;243.16;2.86;0.0;0.0;50.0
16/08/2026;01:00:00;0.259;0.039;237.15;1.09;0.0;0.0;50.0
16/08/2026;02:00:00;0.528;0.052;247.9;2.13;0.0;0.0;50.0
16/08/2026;03:00:00;0.547;0.04;241.48;2.27;0.0;0.0;50.0
16/08/2026;04:00:00;0.679;0.117;240.55;2.82;0.0;0.0;50.0
16/08/2026;05:00:00;0.607;0.065;237.42;2.56;0.0;0.0;50.0
16/08/2026;06:00:00;1.19;0.198;242.1;4.92;0.0;0.0;50.0
16/08/2026;07:00:00;2.308;0.187;238.27;9.69;0.0;7.9;50.0
16/08/2026;08:00:00;2.705;0.395;240.37;11.25;0.0;13.9;50.0
16/08/2026;09:00:00;2.267;0.355;247.68;9.15;0.0;7.8;50.0
16/08/2026;10:00:00;1.44;0.087;239.71;6.01;0.0;0.0;50.0
16/08/2026;11:00:00;0.69;0.081;243.45;2.84;0.0;0.0;50.0
16/08/2026;12:00:00;0.598;0.046;237.89;2.51;0.0;0.0;50.0
16/08/2026;13:00:00;0.559;0.035;239.9;2.33;0.0;0.0;50.0
16/08/2026;14:00:00;0.427;0.106;245.31;1.74;0.0;0.0;50.0
16/08/2026;15:00:00;0.912;0.104;238.12;3.83;0.0;0.0;50.0
16/08/2026;16:00:00;0.977;0.207;245.44;3.98;0.0;0.0;50.0
16/08/2026;17:00:00;1.295;0.131;242.12;5.35;0.0;0.0;50.0
16/08/2026;18:00:00;2.418;0.45;238.31;10.15;12.3;0.0;50.0
16/08/2026;19:00:00;3.001;0.606;241.9;12.41;1.6;0.0;50.0
16/08/2026;20:00:00;3.618;0.612;242.92;14.89;14.5;0.0;50.0
16/08/2026;21:00:00;3.321;0.479;241.87;13.73;6.7;0.0;50.0
16/08/2026;22:00:00;2.196;0.291;235.29;9.34;0.0;0.0;50.0
16/08/2026;23:00:00;1.618;0.194;237.82;6.81;0.0;0.0;50.0
17/08/2026;00:00:00;4.562;1.076;239.26;19.07;0.0;0.0;50.0
17/08/2026;01:00:00;0.623;0.135;239.78;2.6;0.0;0.0;50.0
17/08/2026;02:00:00;0.785;0.191;241.86;3.25;0.0;0.0;50.0
17/08/2026;03:00:00;0.47;0.035;240.53;1.95;0.0;0.0;50.0
17/08/2026;04:00:00;0.438;0.086;235.99;1.86;0.0;0.0;50.0
17/08/2026;05:00:00;0.61;0.145;241.14;2.53;0.0;0.0;50.0
17/08/2026;06:00:00;1.118;0.096;241.83;4.62;0.0;0.0;50.0
17/08/2026;07:00:00;1.93;0.122;241.68;7.98;0.0;16.3;50.0
17/08/2026;08:00:00;2.351;0.466;243.24;9.67;0.0;14.4;50.0
17/08/2026;09:00:00;1.983;0.327;242.5;8.18;0.0;19.1;50.0
17/08/2026;10:00:00;1.364;0.298;241.38;5.65;0.0;0.0;50.0
17/08/2026;11:00:00;0.746;0.058;239.79;3.11;0.0;0.0;50.0
17/08/2026;12:00:00;0.77;0.161;235.02;3.28;0.0;0.0;50.0
17/08/2026;13:00:00;0.473;0.043;241.29;1.96;0.0;0.0;50.0
17/08/2026;14:00:00;0.936;0.077;240.62;3.89;0.0;0.0;50.0
17/08/2026;15:00:00;0.704;0.058;240.81;2.92;0.0;0.0;50.0
17/08/2026;16:00:00;0.71;0.151;236.17;3.01;0.0;0.0;50.0
17/08/2026;17:00:00;1.151;0.211;236.76;4.86;0.0;0.0;50.0
17/08/2026;18:00:00;2.089;0.323;243.16;8.59;17.6;0.0;50.0
17/08/2026;19:00:00;2.673;0.325;239.88;11.14;14.0;0.0;50.0
17/08/2026;20:00:00;3.107;0.7;242.04;12.84;0.2;0.0;50.0
17/08/2026;21:00:00;2.777;0.357;240.08;11.57;8.2;0.0;50.0
17/08/2026;22:00:00;2.005;0.428;240.09;8.35;0.0;0.0;50.0
17/08/2026;23:00:00;3.685;0.508;242.81;15.17;0.0;0.0;50.0
18/08/2026;00:00:00;2.773;0.348;238.45;11.63;0.0;0.0;50.0
18/08/2026;01:00:00;0.433;0.062;240.29;1.8;0.0;0.0;50.0
18/08/2026;02:00:00;0.629;0.069;238.61;2.64;0.0;0.0;50.0
18/08/2026;03:00:00;0.539;0.108;238.7;2.26;0.0;0.0;50.0
18/08/2026;04:00:00;0.365;0.055;239.07;1.52;0.0;0.0;50.0
18/08/2026;05:00:00;0.77;0.074;240.67;3.2;0.0;0.0;50.0
18/08/2026;06:00:00;1.298;0.298;238.56;5.44;0.0;0.0;50.0
18/08/2026;07:00:00;1.809;0.229;243.77;7.42;0.0;8.3;50.0
18/08/2026;08:00:00;2.323;0.369;237.32;9.79;0.0;2.4;50.0
18/08/2026;09:00:00;1.95;0.451;239.44;8.14;0.0;3.6;50.0
18/08/2026;10:00:00;1.069;0.187;238.68;4.48;0.0;0.0;50.0
18/08/2026;11:00:00;0.797;0.059;244.34;3.26;0.0;0.0;50.0
18/08/2026;12:00:00;0.636;0.151;240.59;2.65;0.0;0.0;50.0
18/08/2026;13:00:00;0.675;0.118;243.1;2.78;0.0;0.0;50.0
18/08/2026;14:00:00;0.686;0.08;235.54;2.91;0.0;0.0;50.0
18/08/2026;15:00:00;0.403;0.031;240.8;1.67;0.0;0.0;50.0
18/08/2026;16:00:00;0.698;0.146;242.67;2.87;0.0;0.0;50.0
18/08/2026;17:00:00;1.389;0.242;240.25;5.78;0.0;0.0;50.0
18/08/2026;18:00:00;2.093;0.328;243.2;8.61;21.8;0.0;50.0
18/08/2026;19:00:00;5.283;1.2;238.45;22.16;17.9;0.0;50.0
18/08/2026;20:00:00;3.578;0.743;244.23;14.65;20.0;0.0;50.0
18/08/2026;21:00:00;2.792;0.224;246.9;11.31;8.5;0.0;50.0
18/08/2026;22:00:00;2.187;0.246;238.91;9.15;0.0;0.0;50.0
18/08/2026;23:00:00;1.455;0.145;238.66;6.1;0.0;0.0;50.0
19/08/2026;00:00:00;0.598;0.119;244.36;2.45;0.0;0.0;50.0
19/08/2026;01:00:00;0.453;0.026;244.74;1.85;0.0;0.0;50.0
19/08/2026;02:00:00;0.614;0.101;238.43;2.58;0.0;0.0;50.0
19/08/2026;03:00:00;0.391;0.079;238.74;1.64;0.0;0.0;50.0
19/08/2026;04:00:00;0.516;0.116;239.15;2.16;0.0;0.0;50.0
19/08/2026;05:00:00;0.671;0.079;235.97;2.84;0.0;0.0;50.0
19/08/2026;06:00:00;1.252;0.268;237.24;5.28;0.0;0.0;50.0
19/08/2026;07:00:00;2.289;0.165;236.99;9.66;0.0;16.8;50.0
19/08/2026;08:00:00;6.02;1.2;237.7;25.33;0.0;18.0;50.0
19/08/2026;09:00:00;6.044;0.456;239.9;25.2;0.0;7.1;50.0
19/08/2026;10:00:00;0.998;0.129;240.7;4.15;0.0;0.0;50.0
19/08/2026;11:00:00;0.673;0.141;244.65;2.75;0.0;0.0;50.0
19/08/2026;12:00:00;0.716;0.057;237.0;3.02;0.0;0.0;50.0
19/08/2026;13:00:00;0.522;0.05;242.95;2.15;0.0;0.0;50.0
19/08/2026;14:00:00;0.367;0.071;239.36;1.53;0.0;0.0;50.0
19/08/2026;15:00:00;0.503;0.098;239.85;2.1;0.0;0.0;50.0
19/08/2026;16:00:00;0.94;0.168;242.02;3.89;0.0;0.0;50.0
19/08/2026;17:00:00;1.202;0.227;236.63;5.08;0.0;0.0;50.0
19/08/2026;18:00:00;2.049;0.325;241.15;8.5;12.5;0.0;50.0
19/08/2026;19:00:00;2.713;0.272;240.5;11.28;13.9;0.0;50.0
19/08/2026;20:00:00;2.902;0.346;241.48;12.02;18.0;0.0;50.0
19/08/2026;21:00:00;3.028;0.261;240.87;12.57;5.7;0.0;50.0
19/08/2026;22:00:00;2.111;0.489;247.37;8.54;0.0;0.0;50.0
19/08/2026;23:00:00;1.008;0.168;238.09;4.23;0.0;0.0;50.0
20/08/2026;00:00:00;0.528;0.069;238.41;2.21;0.0;0.0;50.0
20/08/2026;01:00:00;0.401;0.057;238.13;1.68;0.0;0.0;50.0
20/08/2026;02:00:00;0.628;0.15;238.33;2.64;0.0;0.0;50.0
